ID Nummer,Vorname,Nachname,Schichtverfügbarkeit,Qualifikationen,Überstunden,Schichtpräferenz,Einstellungsdatum,Entlassungsdatum,Gemischtwarenladen
ID11302,Kelly,Krueger,Morgenschicht,Verkäufer,NEIN,NEIN,06/04/2016,04/07/2016,7
ID52898,Autumn,Harrison,Nachmittagsschicht,Verkäufer,NEIN,JA,12/04/2016,10/09/2016,4
ID53434,Annabel,Hanna,Nachmittagsschicht,Verkäufer,JA,JA,15/04/2016,18/05/2017,1
ID93854,Deacon,Wheeler,Morgenschicht,Verkäufer,JA,JA,17/04/2016,23/02/2017,5
ID54954,Belle,Sosa,Morgenschicht,Reinigungskraft,NEIN,JA,18/04/2016,27/12/2016,1
ID26943,Abbey,Wright,Nachmittagsschicht,Verkäufer,JA,JA,21/04/2016,24/01/2017,8
ID36130,Montgomery,Knowles,Nachmittagsschicht,Reinigungskraft,JA,JA,23/04/2016,30/11/2016,8
ID91323,Myla,Mosley,Morgenschicht,Verkäufer,NEIN,NEIN,25/04/2016,22/06/2016,8
ID19170,Declan,Huber,Nachmittagsschicht,Aushilfe,NEIN,JA,25/04/2016,12/03/2017,6
ID31567,Alana,Valencia,Nachmittagsschicht,Verkäufer,NEIN,JA,27/04/2016,01/01/2017,3
ID57471,Hasan,Schmidt,Nachmittagsschicht,Verkäufer,NEIN,JA,30/04/2016,18/11/2016,2
ID95121,Keziah,Rollins,Morgenschicht,Aushilfe,NEIN,JA,30/04/2016,23/04/2017,6
ID85782,Steve,Zamora,Nachmittagsschicht,Verkäufer,NEIN,JA,03/05/2016,28/05/2017,7
ID93807,Traci,Wise,Nachmittagsschicht,Aushilfe,NEIN,JA,03/05/2016,07/04/2017,1
ID40455,John,Ramsey,Morgenschicht,Verkäufer,JA,NEIN,05/05/2016,18/07/2016,4
ID55106,Lorcan,Key,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,06/05/2016,18/06/2016,6
ID54980,Dawn,Wilkerson,Nachmittagsschicht,Aushilfe,NEIN,NEIN,08/05/2016,05/08/2016,4
ID75201,Tiago,Munoz,Morgenschicht,Verkäufer,JA,JA,08/05/2016,18/09/2016,1
ID93577,Shivam,Aguirre,Nachmittagsschicht,Aushilfe,JA,JA,17/05/2016,14/07/2017,2
ID39238,Hermione,Morse,Nachmittagsschicht,Reinigungskraft,NEIN,JA,17/05/2016,19/10/2016,8
ID5723,Kabir,Webster,Morgenschicht,Aushilfe,NEIN,NEIN,18/05/2016,11/10/2016,7
ID36666,Clementine,Bennett,Nachmittagsschicht,Verkäufer,NEIN,NEIN,20/05/2016,26/07/2016,3
ID12853,Libbie,Fletcher,Morgenschicht,Aushilfe,NEIN,JA,21/05/2016,07/10/2017,2
ID21156,Mathew,Andrade,Nachmittagsschicht,Verkäufer,JA,JA,23/05/2016,13/02/2017,6
ID71721,Syed,Reeves,Morgenschicht,Reinigungskraft,NEIN,JA,24/05/2016,16/08/2016,7
ID31090,Nikita,Romero,Nachmittagsschicht,Verkäufer,NEIN,JA,25/05/2016,01/05/2017,5
ID76048,Inaya,Mcbride,Morgenschicht,Reinigungskraft,NEIN,JA,30/05/2016,13/11/2016,6
ID43976,Haseeb,Kim,Morgenschicht,Reinigungskraft,NEIN,JA,03/06/2016,12/03/2017,5
ID77049,Cassandra,Peck,Nachmittagsschicht,Aushilfe,NEIN,JA,04/06/2016,24/02/2017,3
ID66904,India,Bryan,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,05/06/2016,13/07/2016,8
ID48950,Otto,Chaney,Nachmittagsschicht,Verkäufer,NEIN,JA,07/06/2016,06/01/2017,8
ID26235,Alessandro,Alexander,Morgenschicht,Reinigungskraft,JA,JA,09/06/2016,13/11/2016,3
ID70101,Aaron,Higgins,Nachmittagsschicht,Aushilfe,NEIN,JA,14/06/2016,18/09/2016,1
ID2513,Ronald,Wall,Nachmittagsschicht,Reinigungskraft,JA,JA,17/06/2016,14/08/2016,2
ID89151,Byron,Arias,Morgenschicht,Reinigungskraft,JA,JA,18/06/2016,09/09/2016,1
ID47832,Dexter,Best,Nachmittagsschicht,Reinigungskraft,NEIN,JA,20/06/2016,05/09/2016,5
ID93038,Ricky,Shaffer,Morgenschicht,Reinigungskraft,NEIN,NEIN,22/06/2016,29/09/2016,5
ID73165,Ethan,Michael,Morgenschicht,Aushilfe,JA,JA,26/06/2016,11/03/2017,1
ID40367,Katy,Mclean,Nachmittagsschicht,Aushilfe,NEIN,JA,28/06/2016,29/05/2017,4
ID92054,Paige,Rollins,Nachmittagsschicht,Reinigungskraft,JA,JA,29/06/2016,08/11/2016,8
ID61366,Levi,Chandler,Nachmittagsschicht,Aushilfe,NEIN,JA,01/07/2016,25/10/2016,5
ID39631,Paula,Manning,Nachmittagsschicht,Verkäufer,JA,NEIN,03/07/2016,12/11/2016,8
ID69339,Hana,Sullivan,Nachmittagsschicht,Verkäufer,NEIN,JA,03/07/2016,12/03/2017,4
ID21974,Abdur,Miller,Nachmittagsschicht,Reinigungskraft,NEIN,JA,04/07/2016,17/12/2016,7
ID77923,Amaan,Bartlett,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,06/07/2016,06/09/2016,6
ID75721,Lola,Newman,Nachmittagsschicht,Verkäufer,NEIN,JA,06/07/2016,14/11/2016,4
ID67139,Wanda,Mclaughlin,Morgenschicht,Aushilfe,NEIN,JA,08/07/2016,15/04/2017,1
ID14770,Paula,Campbell,Morgenschicht,Verkäufer,NEIN,NEIN,09/07/2016,20/11/2016,5
ID40885,Jessie,Short,Morgenschicht,Reinigungskraft,NEIN,JA,12/07/2016,14/11/2016,1
ID34310,Hiba,James,Morgenschicht,Reinigungskraft,NEIN,JA,12/07/2016,11/10/2016,8
ID59376,Hollie,Hawkins,Nachmittagsschicht,Reinigungskraft,JA,JA,16/07/2016,16/03/2017,5
ID35472,Eoin,Holman,Nachmittagsschicht,Aushilfe,NEIN,JA,16/07/2016,06/01/2018,3
ID21701,Malakai,Knight,Nachmittagsschicht,Verkäufer,NEIN,NEIN,20/07/2016,12/11/2016,3
ID23806,Vanessa,Green,Nachmittagsschicht,Reinigungskraft,JA,NEIN,20/07/2016,29/08/2016,2
ID66774,Bronte,Mendoza,Nachmittagsschicht,Reinigungskraft,JA,NEIN,21/07/2016,09/08/2016,3
ID78246,Lennox,Bishop,Nachmittagsschicht,Aushilfe,NEIN,JA,22/07/2016,21/02/2017,4
ID22580,Gabrielle,Yoder,Nachmittagsschicht,Reinigungskraft,NEIN,JA,23/07/2016,15/01/2017,2
ID98793,Aarav,Patrick,Nachmittagsschicht,Verkäufer,JA,NEIN,23/07/2016,31/10/2016,5
ID50042,Annie,Lawson,Nachmittagsschicht,Verkäufer,NEIN,JA,24/07/2016,26/05/2017,7
ID73193,Cecily,Bird,Nachmittagsschicht,Reinigungskraft,JA,NEIN,28/07/2016,04/09/2016,8
ID95580,Ruby,Estrada,Nachmittagsschicht,Verkäufer,NEIN,JA,01/08/2016,12/12/2016,3
ID52262,Haroon,Mcdonald,Morgenschicht,Verkäufer,NEIN,JA,01/08/2016,23/03/2017,4
ID44701,Anika,Diaz,Morgenschicht,Verkäufer,JA,NEIN,01/08/2016,22/01/2017,2
ID79872,Lowri,Cardenas,Morgenschicht,Reinigungskraft,NEIN,NEIN,02/08/2016,02/12/2016,3
ID57922,Gladys,Conner,Nachmittagsschicht,Reinigungskraft,JA,JA,08/08/2016,23/03/2017,5
ID61102,Zakir,Ali,Nachmittagsschicht,Reinigungskraft,JA,NEIN,13/08/2016,21/10/2016,1
ID27824,Leena,Lawson,Nachmittagsschicht,Aushilfe,NEIN,NEIN,19/08/2016,14/11/2016,8
ID52656,Faith,Mullins,Nachmittagsschicht,Verkäufer,NEIN,JA,24/08/2016,13/12/2016,6
ID53733,Magnus,Golden,Nachmittagsschicht,Verkäufer,NEIN,JA,24/08/2016,11/12/2017,7
ID71619,Marc,Munoz,Nachmittagsschicht,Verkäufer,NEIN,JA,25/08/2016,07/11/2017,6
ID95605,Antonia,Craig,Nachmittagsschicht,Verkäufer,NEIN,JA,26/08/2016,22/04/2017,1
ID78052,Miranda,Wallace,Morgenschicht,Verkäufer,JA,JA,28/08/2016,20/11/2017,1
ID21453,Rosie,Glenn,Nachmittagsschicht,Reinigungskraft,NEIN,JA,30/08/2016,25/02/2017,7
ID24331,Alexander,Howell,Morgenschicht,Reinigungskraft,NEIN,JA,31/08/2016,01/02/2017,3
ID67867,Zahraa,Jenkins,Morgenschicht,Reinigungskraft,JA,JA,31/08/2016,06/03/2017,7
ID87991,Amy,Hart,Morgenschicht,Verkäufer,NEIN,JA,01/09/2016,26/06/2017,3
ID62683,Erica,Tanner,Nachmittagsschicht,Verkäufer,JA,JA,02/09/2016,25/11/2017,6
ID55921,Jonty,Copeland,Nachmittagsschicht,Aushilfe,JA,NEIN,05/09/2016,24/12/2016,7
ID95503,Rebekah,Wyatt,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,05/09/2016,15/11/2016,1
ID27952,Leah,Booth,Morgenschicht,Verkäufer,NEIN,JA,06/09/2016,20/09/2017,5
ID33847,Zoe,Herman,Nachmittagsschicht,Reinigungskraft,JA,JA,09/09/2016,05/02/2017,1
ID44065,Thomas,Jackson,Morgenschicht,Reinigungskraft,NEIN,NEIN,10/09/2016,14/11/2016,5
ID84200,Drew,Solis,Nachmittagsschicht,Reinigungskraft,JA,JA,10/09/2016,27/02/2017,7
ID73425,Wilma,Bradshaw,Nachmittagsschicht,Aushilfe,JA,NEIN,10/09/2016,01/02/2017,5
ID28153,Tessa,Palmer,Nachmittagsschicht,Verkäufer,NEIN,NEIN,13/09/2016,23/01/2017,1
ID57628,Nell,Schneider,Nachmittagsschicht,Verkäufer,NEIN,JA,17/09/2016,16/12/2017,4
ID98263,Luke,Barton,Morgenschicht,Reinigungskraft,JA,JA,20/09/2016,19/01/2017,6
ID78600,Zahra,Norris,Nachmittagsschicht,Aushilfe,JA,NEIN,21/09/2016,07/11/2016,8
ID67734,Alisa,England,Morgenschicht,Verkäufer,NEIN,JA,24/09/2016,01/11/2017,5
ID94800,Maison,French,Morgenschicht,Verkäufer,NEIN,NEIN,27/09/2016,28/03/2017,1
ID44248,Brenda,Ryan,Nachmittagsschicht,Aushilfe,NEIN,JA,30/09/2016,11/07/2017,6
ID29434,Dalton,Morrow,Nachmittagsschicht,Aushilfe,JA,NEIN,30/09/2016,12/11/2016,3
ID60731,Bella,Graham,Morgenschicht,Verkäufer,NEIN,NEIN,01/10/2016,20/11/2016,8
ID36749,Omari,Rios,Morgenschicht,Verkäufer,JA,JA,02/10/2016,23/08/2017,1
ID21572,Barney,Walker,Morgenschicht,Reinigungskraft,NEIN,JA,02/10/2016,18/04/2017,1
ID52854,Elias,Ayala,Morgenschicht,Aushilfe,NEIN,JA,03/10/2016,07/03/2017,5
ID77958,Will,Key,Morgenschicht,Verkäufer,NEIN,JA,08/10/2016,20/11/2017,5
ID60755,Morgan,Mcintosh,Nachmittagsschicht,Reinigungskraft,NEIN,JA,09/10/2016,01/03/2017,6
ID24071,Monica,Turner,Nachmittagsschicht,Reinigungskraft,NEIN,JA,15/10/2016,31/03/2017,5
ID52712,Valerie,Thompson,Morgenschicht,Reinigungskraft,NEIN,JA,16/10/2016,06/12/2016,4
ID90667,Rhea,Savage,Morgenschicht,Verkäufer,JA,JA,17/10/2016,29/08/2017,5
ID48056,Gareth,Mcbride,Nachmittagsschicht,Aushilfe,JA,JA,17/10/2016,23/11/2017,7
ID62556,Kaan,Lang,Morgenschicht,Verkäufer,NEIN,JA,17/10/2016,08/06/2017,5
ID43545,Melody,Beasley,Morgenschicht,Reinigungskraft,NEIN,JA,18/10/2016,01/01/2017,6
ID10377,Stevie,Kim,Nachmittagsschicht,Aushilfe,NEIN,JA,18/10/2016,28/08/2017,3
ID42281,Dafydd,Fuller,Morgenschicht,Aushilfe,NEIN,JA,19/10/2016,26/01/2017,3
ID77853,Delores,Smith,Morgenschicht,Reinigungskraft,NEIN,JA,20/10/2016,18/11/2016,8
ID79351,Zoe,Bryan,Nachmittagsschicht,Reinigungskraft,JA,JA,20/10/2016,24/04/2017,6
ID75097,Everly,Roman,Morgenschicht,Verkäufer,NEIN,NEIN,22/10/2016,09/04/2017,6
ID16225,Alan,Marshall,Morgenschicht,Aushilfe,JA,JA,22/10/2016,16/06/2017,8
ID28808,Finnian,Martin,Morgenschicht,Aushilfe,NEIN,JA,26/10/2016,03/09/2017,2
ID77086,Lorenzo,Baker,Nachmittagsschicht,Verkäufer,JA,NEIN,26/10/2016,16/03/2017,8
ID26138,Lois,Mcmahon,Morgenschicht,Aushilfe,NEIN,JA,26/10/2016,14/09/2017,1
ID50126,Maeve,Ross,Nachmittagsschicht,Aushilfe,JA,JA,30/10/2016,26/09/2017,5
ID57091,Oisin,Crane,Morgenschicht,Aushilfe,NEIN,JA,31/10/2016,04/12/2017,3
ID96456,Annie,Sloan,Morgenschicht,Reinigungskraft,NEIN,NEIN,03/11/2016,03/01/2017,1
ID60386,Kasey,Leach,Nachmittagsschicht,Verkäufer,NEIN,JA,07/11/2016,18/10/2017,2
ID28492,Erica,Foster,Nachmittagsschicht,Verkäufer,NEIN,NEIN,08/11/2016,16/12/2016,8
ID96066,Coral,Key,Nachmittagsschicht,Aushilfe,NEIN,JA,13/11/2016,29/08/2017,4
ID69852,Elias,Caldwell,Morgenschicht,Reinigungskraft,NEIN,JA,15/11/2016,03/07/2017,5
ID34485,Ivy,Montoya,Morgenschicht,Reinigungskraft,NEIN,NEIN,16/11/2016,27/12/2016,8
ID44044,Rhea,Marsh,Morgenschicht,Verkäufer,JA,NEIN,18/11/2016,23/12/2016,1
ID58448,Gabrielle,Love,Nachmittagsschicht,Verkäufer,NEIN,NEIN,18/11/2016,14/01/2017,4
ID45298,Abu,Conner,Morgenschicht,Aushilfe,NEIN,NEIN,19/11/2016,25/02/2017,1
ID11662,Alastair,Bryan,Nachmittagsschicht,Aushilfe,NEIN,JA,20/11/2016,22/08/2017,8
ID24922,Noel,Mayer,Nachmittagsschicht,Reinigungskraft,JA,NEIN,22/11/2016,02/02/2017,4
ID97613,Dorothy,Rich,Morgenschicht,Aushilfe,NEIN,JA,24/11/2016,04/10/2017,3
ID59228,Shania,Oneill,Morgenschicht,Reinigungskraft,NEIN,JA,25/11/2016,07/07/2017,8
ID28294,Colin,Mcintosh,Nachmittagsschicht,Verkäufer,NEIN,JA,26/11/2016,10/05/2017,6
ID52376,Bill,Calderon,Nachmittagsschicht,Verkäufer,JA,NEIN,26/11/2016,12/04/2017,4
ID33006,Constance,Berry,Morgenschicht,Verkäufer,JA,JA,26/11/2016,10/09/2017,8
ID97510,Shannon,Reese,Morgenschicht,Aushilfe,JA,JA,28/11/2016,27/04/2017,2
ID87505,Angel,Best,Morgenschicht,Verkäufer,NEIN,JA,05/12/2016,11/10/2017,7
ID29760,Whitney,Carney,Nachmittagsschicht,Verkäufer,JA,JA,06/12/2016,29/07/2017,5
ID39043,Zaid,Mcbride,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,13/12/2016,16/02/2017,2
ID36483,Lincoln,Suarez,Nachmittagsschicht,Verkäufer,JA,JA,15/12/2016,30/11/2017,6
ID65033,Malaika,England,Morgenschicht,Verkäufer,JA,JA,18/12/2016,29/06/2017,8
ID69505,Nora,Neal,Nachmittagsschicht,Verkäufer,NEIN,JA,19/12/2016,23/09/2017,3
ID43831,Rohan,Mcleod,Morgenschicht,Verkäufer,JA,NEIN,19/12/2016,21/06/2017,1
ID15471,Orlando,Maldonado,Nachmittagsschicht,Reinigungskraft,JA,NEIN,21/12/2016,16/01/2017,3
ID20694,Corey,Williams,Nachmittagsschicht,Reinigungskraft,JA,JA,22/12/2016,14/03/2017,7
ID85503,Karina,Cole,Nachmittagsschicht,Reinigungskraft,NEIN,JA,27/12/2016,16/05/2017,5
ID81107,Jan,Roy,Nachmittagsschicht,Verkäufer,NEIN,JA,28/12/2016,01/02/2018,3
ID65514,Sumaya,Snyder,Morgenschicht,Verkäufer,JA,JA,31/12/2016,16/10/2017,8
ID14963,Tobias,Tapia,Nachmittagsschicht,Verkäufer,JA,JA,04/01/2017,09/01/2018,2
ID65651,Aliza,Villanueva,Nachmittagsschicht,Reinigungskraft,NEIN,JA,06/01/2017,06/06/2017,5
ID63344,Marshall,Bryant,Nachmittagsschicht,Reinigungskraft,NEIN,JA,10/01/2017,30/05/2017,5
ID97487,Lucian,Wyatt,Morgenschicht,Aushilfe,NEIN,NEIN,13/01/2017,04/05/2017,5
ID93686,Aliyah,Briggs,Morgenschicht,Verkäufer,JA,JA,14/01/2017,06/02/2018,4
ID61586,Lauren,Taylor,Morgenschicht,Reinigungskraft,NEIN,JA,16/01/2017,30/05/2017,4
ID97031,Safaa,Henry,Morgenschicht,Aushilfe,JA,NEIN,16/01/2017,20/06/2017,3
ID20179,Rachael,Ayala,Morgenschicht,Reinigungskraft,JA,NEIN,17/01/2017,26/03/2017,6
ID26828,Kelly,Ayala,Morgenschicht,Verkäufer,NEIN,JA,19/01/2017,15/10/2017,1
ID8306,Morgan,Davies,Morgenschicht,Aushilfe,NEIN,JA,22/01/2017,06/07/2017,6
ID54219,Pamela,Gardner,Nachmittagsschicht,Aushilfe,NEIN,JA,22/01/2017,19/03/2018,8
ID11385,Jed,Gross,Morgenschicht,Aushilfe,JA,JA,23/01/2017,22/03/2018,8
ID98789,Milan,Meza,Nachmittagsschicht,Verkäufer,JA,JA,24/01/2017,25/12/2017,3
ID34595,Spencer,Frederick,Morgenschicht,Reinigungskraft,NEIN,NEIN,25/01/2017,23/02/2017,6
ID24910,Leila,Nolan,Nachmittagsschicht,Verkäufer,NEIN,JA,25/01/2017,10/08/2017,7
ID71667,Angelo,Romero,Nachmittagsschicht,Reinigungskraft,NEIN,JA,28/01/2017,18/09/2017,7
ID39312,Millie,Hahn,Nachmittagsschicht,Aushilfe,NEIN,JA,28/01/2017,05/02/2018,5
ID67627,Hasnain,Allen,Morgenschicht,Verkäufer,NEIN,JA,29/01/2017,07/12/2017,5
ID86008,Lucille,Herman,Nachmittagsschicht,Verkäufer,NEIN,JA,04/02/2017,05/08/2017,5
ID68664,Finnian,Fields,Nachmittagsschicht,Verkäufer,NEIN,JA,06/02/2017,18/09/2017,2
ID30845,Khalil,Cameron,Nachmittagsschicht,Reinigungskraft,JA,JA,06/02/2017,01/08/2017,4
ID65804,Chelsea,Lucas,Morgenschicht,Verkäufer,JA,JA,07/02/2017,30/04/2018,1
ID86751,Edna,Medina,Morgenschicht,Aushilfe,NEIN,NEIN,09/02/2017,23/07/2017,5
ID62130,Norma,Brady,Nachmittagsschicht,Verkäufer,JA,JA,10/02/2017,05/06/2017,8
ID22770,Magnus,Carr,Nachmittagsschicht,Verkäufer,NEIN,JA,10/02/2017,20/12/2017,1
ID91581,Frederic,Freeman,Morgenschicht,Reinigungskraft,NEIN,JA,15/02/2017,11/08/2017,7
ID65989,Simon,Hutchinson,Nachmittagsschicht,Reinigungskraft,JA,JA,18/02/2017,10/10/2017,2
ID70278,Lexi,Noble,Morgenschicht,Aushilfe,NEIN,JA,20/02/2017,07/09/2017,5
ID85931,Viola,Ayers,Morgenschicht,Verkäufer,JA,JA,20/02/2017,26/03/2018,8
ID14712,Cade,Howe,Morgenschicht,Verkäufer,NEIN,NEIN,21/02/2017,04/07/2017,8
ID63787,Barnaby,Trevino,Nachmittagsschicht,Reinigungskraft,JA,NEIN,28/02/2017,18/04/2017,1
ID78088,Kate,Barker,Nachmittagsschicht,Reinigungskraft,JA,JA,02/03/2017,16/09/2017,7
ID85538,Asad,Tanner,Morgenschicht,Reinigungskraft,JA,JA,03/03/2017,27/07/2017,4
ID71725,Luke,Patrick,Nachmittagsschicht,Reinigungskraft,NEIN,JA,05/03/2017,03/08/2017,5
ID76654,Calvin,Garcia,Nachmittagsschicht,Aushilfe,JA,JA,08/03/2017,14/04/2018,6
ID36349,Rabia,Figueroa,Nachmittagsschicht,Reinigungskraft,NEIN,JA,11/03/2017,05/08/2017,6
ID45329,Meghan,Jarvis,Nachmittagsschicht,Aushilfe,JA,JA,12/03/2017,07/04/2018,2
ID51659,Malika,Beasley,Morgenschicht,Verkäufer,NEIN,JA,14/03/2017,26/01/2018,4
ID36585,Robbie,Goodwin,Morgenschicht,Reinigungskraft,JA,JA,14/03/2017,18/08/2017,6
ID14795,Frankie,Frost,Morgenschicht,Reinigungskraft,NEIN,NEIN,14/03/2017,23/04/2017,5
ID57855,Mattie,Horton,Nachmittagsschicht,Reinigungskraft,JA,NEIN,14/03/2017,12/05/2017,3
ID99079,Karim,Olson,Nachmittagsschicht,Verkäufer,NEIN,JA,16/03/2017,05/04/2018,4
ID18706,Greta,Mcintyre,Morgenschicht,Verkäufer,NEIN,JA,16/03/2017,15/12/2017,3
ID81440,Chelsey,Singh,Nachmittagsschicht,Verkäufer,NEIN,JA,18/03/2017,30/10/2017,3
ID82955,Kaleb,Moss,Morgenschicht,Verkäufer,NEIN,NEIN,18/03/2017,18/05/2017,8
ID99511,Charlotte,Mathis,Morgenschicht,Verkäufer,JA,JA,20/03/2017,04/12/2018,2
ID91800,Troy,Townsend,Morgenschicht,Aushilfe,NEIN,JA,20/03/2017,12/03/2018,5
ID13200,Marwa,Martin,Morgenschicht,Aushilfe,NEIN,JA,22/03/2017,25/09/2017,3
ID23255,Cordelia,Wiley,Morgenschicht,Aushilfe,NEIN,JA,22/03/2017,04/07/2017,7
ID57597,Rafferty,Blanchard,Morgenschicht,Reinigungskraft,JA,JA,28/03/2017,29/06/2017,3
ID95677,Samantha,Higgins,Morgenschicht,Aushilfe,NEIN,JA,29/03/2017,16/04/2018,3
ID98087,Mollie,Lowery,Nachmittagsschicht,Verkäufer,NEIN,JA,30/03/2017,29/05/2018,2
ID68582,Sufyan,Koch,Morgenschicht,Verkäufer,JA,JA,05/04/2017,17/07/2017,3
ID85578,Natalia,Long,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,06/04/2017,07/07/2017,3
ID23230,Stephanie,Wells,Nachmittagsschicht,Verkäufer,JA,NEIN,17/04/2017,21/10/2017,4
ID63014,Tyrell,Mccullough,Morgenschicht,Verkäufer,NEIN,JA,19/04/2017,04/03/2018,2
ID31084,Victor,Davidson,Nachmittagsschicht,Verkäufer,NEIN,JA,20/04/2017,19/08/2017,4
ID54257,Katie,Sparks,Nachmittagsschicht,Verkäufer,NEIN,JA,20/04/2017,10/03/2018,6
ID42499,Danyal,Vance,Nachmittagsschicht,Reinigungskraft,NEIN,JA,21/04/2017,02/08/2017,5
ID90209,Carmen,Dalton,Morgenschicht,Aushilfe,NEIN,JA,23/04/2017,11/06/2018,7
ID92595,Mae,Bowen,Morgenschicht,Verkäufer,NEIN,NEIN,24/04/2017,28/06/2017,1
ID49422,Xanthe,Jennings,Nachmittagsschicht,Aushilfe,NEIN,JA,25/04/2017,04/07/2018,2
ID36976,Cecilia,Blair,Morgenschicht,Verkäufer,NEIN,NEIN,26/04/2017,11/08/2017,2
ID47521,Melvin,Case,Morgenschicht,Verkäufer,JA,JA,26/04/2017,12/03/2018,5
ID77603,Yusuf,Rodgers,Morgenschicht,Reinigungskraft,JA,JA,27/04/2017,31/10/2017,2
ID43708,Emilia,Vazquez,Morgenschicht,Reinigungskraft,NEIN,NEIN,30/04/2017,28/06/2017,8
ID90960,Olive,Ballard,Nachmittagsschicht,Verkäufer,NEIN,JA,05/05/2017,29/04/2018,6
ID44018,Anna,Petty,Morgenschicht,Verkäufer,JA,JA,06/05/2017,15/02/2018,2
ID16589,Isla,Grant,Nachmittagsschicht,Verkäufer,JA,JA,07/05/2017,21/11/2017,5
ID63267,Lottie,Camacho,Morgenschicht,Aushilfe,NEIN,JA,08/05/2017,14/10/2018,8
ID57298,Aiden,Velez,Morgenschicht,Reinigungskraft,NEIN,JA,09/05/2017,20/03/2018,5
ID43770,Jasmin,Bird,Nachmittagsschicht,Verkäufer,NEIN,JA,10/05/2017,19/08/2018,4
ID94509,Mae,Ochoa,Nachmittagsschicht,Reinigungskraft,JA,NEIN,14/05/2017,12/06/2017,2
ID82843,Laiba,Norris,Morgenschicht,Aushilfe,NEIN,JA,14/05/2017,16/09/2017,3
ID49455,Rajan,Curtis,Morgenschicht,Verkäufer,JA,NEIN,16/05/2017,31/10/2017,3
ID25214,Dora,Casey,Nachmittagsschicht,Verkäufer,JA,JA,18/05/2017,22/09/2018,3
ID88984,Shayla,Cantrell,Morgenschicht,Aushilfe,JA,JA,20/05/2017,17/10/2017,2
ID19514,Kaiden,Stewart,Nachmittagsschicht,Verkäufer,NEIN,JA,20/05/2017,01/06/2018,7
ID44713,Ewan,Wade,Nachmittagsschicht,Reinigungskraft,JA,JA,21/05/2017,09/09/2017,8
ID67955,Leland,Middleton,Nachmittagsschicht,Verkäufer,NEIN,JA,22/05/2017,18/12/2017,4
ID49441,Markus,Mcconnell,Nachmittagsschicht,Reinigungskraft,NEIN,JA,27/05/2017,24/07/2017,1
ID83185,Tasnim,Klein,Morgenschicht,Verkäufer,NEIN,JA,29/05/2017,11/04/2018,8
ID69915,Aron,Fry,Morgenschicht,Verkäufer,NEIN,JA,30/05/2017,11/08/2018,4
ID73251,Riley,Goodman,Morgenschicht,Reinigungskraft,NEIN,JA,31/05/2017,12/10/2017,8
ID80832,Rafael,Waller,Nachmittagsschicht,Verkäufer,NEIN,JA,01/06/2017,19/07/2018,1
ID40180,Jeremy,Davis,Morgenschicht,Aushilfe,NEIN,JA,05/06/2017,26/01/2018,5
ID45165,Peggy,Kirby,Nachmittagsschicht,Verkäufer,NEIN,JA,05/06/2017,11/10/2017,7
ID19946,Anish,Wallace,Nachmittagsschicht,Aushilfe,NEIN,JA,06/06/2017,20/11/2017,4
ID46259,Ariana,Harrison,Morgenschicht,Aushilfe,JA,NEIN,11/06/2017,27/11/2017,2
ID70270,Azaan,Juarez,Nachmittagsschicht,Aushilfe,NEIN,JA,13/06/2017,25/11/2017,4
ID31406,Yousuf,O'Moore,Nachmittagsschicht,Reinigungskraft,NEIN,NEIN,13/06/2017,23/08/2017,7
ID29506,Dafydd,Marshall,Nachmittagsschicht,Reinigungskraft,NEIN,JA,13/06/2017,16/11/2017,2
ID77296,Fergus,Kerr,Morgenschicht,Verkäufer,NEIN,JA,14/06/2017,12/01/2018,8
ID57707,Antony,Villarreal,Morgenschicht,Reinigungskraft,JA,JA,16/06/2017,21/12/2017,2
ID74705,Jasmin,O'Reilly,Nachmittagsschicht,Reinigungskraft,JA,JA,16/06/2017,25/12/2017,4
ID32011,Emilio,Snyder,Morgenschicht,Verkäufer,NEIN,NEIN,17/06/2017,19/10/2017,7
ID23837,Nettie,Gillespie,Morgenschicht,Verkäufer,NEIN,NEIN,17/06/2017,23/08/2017,5
ID39006,Eleri,Golden,Morgenschicht,Verkäufer,NEIN,NEIN,18/06/2017,14/09/2017,6
ID29461,Elodie,Randall,Morgenschicht,Reinigungskraft,NEIN,JA,18/06/2017,09/11/2017,1
ID58475,Neha,Heath,Morgenschicht,Aushilfe,NEIN,NEIN,18/06/2017,23/08/2017,4
ID71160,Stacey,Santana,Morgenschicht,Reinigungskraft,JA,JA,20/06/2017,04/04/2018,1
ID43599,Juanita,Hammond,Morgenschicht,Verkäufer,NEIN,JA,21/06/2017,03/03/2018,2
ID10002,Sumaya,Thornton,Morgenschicht,Verkäufer,NEIN,JA,23/06/2017,06/06/2018,5
ID80421,Josef,Mcmahon,Nachmittagsschicht,Verkäufer,NEIN,JA,29/06/2017,10/02/2018,3
ID53293,Yasir,Guzman,Morgenschicht,Reinigungskraft,JA,JA,01/07/2017,05/04/2018,3
ID22294,Ilyas,Ballard,Morgenschicht,Aushilfe,NEIN,JA,03/07/2017,14/10/2018,8
